ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,local,eficiencia
2010,9/12/2010,21,Allianz Parque,Leandro Pedro Vuaden,15313.0,,palmeiras,vasco da gama,Luiz Felipe Scolari,Paulo César Gusmão,11.0,7.0,24100000.0,12400000.0,25.9,24.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,fora,
2010,11/14/2010,35,Estádio São Januário,Wagner Reway,5674.0,,vasco da gama,são paulo,Paulo César Gusmão,Paulo César Carpegiani,11.0,10.0,10800000.0,26100000.0,25.2,27.2,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,empate,casa,
2010,10/1/2010,27,Estádio São Januário,Carlos Simon,8881.0,,vasco da gama,goiás ec,,,10.0,18.0,,,,,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,vitoria,casa,
2010,11/28/2010,37,Estádio Municipal Paulo Machado de Carvalho,Márcio Chagas da Silva,33487.0,,corinthians,vasco da gama,Tite,Paulo César Gusmão,2.0,11.0,24050000.0,11650000.0,28.4,23.8,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2010,7/21/2010,10,Estádio Olímpico Monumental,Héber Lopes,4076.0,,grêmio,vasco da gama,Silas,Paulo César Gusmão,16.0,17.0,21650000.0,8500000.0,25.6,23.9,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,empate,fora,
2010,5/30/2010,5,Estádio Olímpico Nilton Santos,Carlos Simon,20373.0,,botafogo,vasco da gama,Joel Santana,Celso Roth,6.0,16.0,10600000.0,12700000.0,27.7,24.4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,empate,fora,
2010,11/7/2010,34,Estádio Jornalista Mário Filho,Péricles Bassols Pegado Cortez,16263.0,,fluminense,vasco da gama,Muricy Ramalho,Paulo César Gusmão,1.0,11.0,16400000.0,10600000.0,26.5,24.5,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2010,6/6/2010,7,Estádio Urbano Caldeira,José Caldas de Souza,9525.0,,santos fc,vasco da gama,Dorival Júnior,Celso Roth,5.0,19.0,23050000.0,11550000.0,25.7,23.5,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2010,5/23/2010,3,Estádio Aderbal Ramos da Silva,Wilson Luiz Seneme,9594.0,,avaí fc,vasco da gama,Péricles Chamusca,Celso Roth,2.0,16.0,5700000.0,16400000.0,25.3,24.2,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2010,7/24/2010,11,Estádio São Januário,Arilson Bispo da Anunciação,13157.0,,vasco da gama,atlético-go,Paulo César Gusmão,Roberto Fernandes,17.0,20.0,8500000.0,5150000.0,23.9,28.5,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2010,8/8/2010,13,Estádio São Januário,Wallace Nascimento Valente,16885.0,,vasco da gama,ec vitória,Paulo César Gusmão,Ricardo Silva,14.0,13.0,12800000.0,6800000.0,25.3,25.1,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2010,8/22/2010,15,Estádio São Januário,Marcelo de Lima Henrique,76205.0,,vasco da gama,fluminense,Paulo César Gusmão,Muricy Ramalho,10.0,1.0,14550000.0,16700000.0,25.8,28.1,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,empate,casa,
2010,8/28/2010,17,Estádio São Januário,Luiz Flávio de Oliveira,16518.0,,vasco da gama,cruzeiro,Paulo César Gusmão,Cuca,9.0,5.0,14550000.0,23400000.0,26.8,26.1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,empate,casa,
2010,9/9/2010,20,Estádio São Januário,Cleber Wellington Abade,8281.0,,vasco da gama,atlético-mg,Paulo César Gusmão,Vanderlei Luxemburgo,7.0,18.0,11800000.0,12700000.0,24.9,25.3,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,empate,casa,
2010,9/16/2010,22,Estádio São Januário,Sandro Ricci,7939.0,,vasco da gama,avaí fc,Paulo César Gusmão,Antônio Lopes,7.0,14.0,13450000.0,7350000.0,24.0,26.1,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,empate,casa,
2010,10/24/2010,31,Estádio São Januário,Gutemberg de Paula Fonseca,26006.0,,vasco da gama,flamengo,Paulo César Gusmão,Vanderlei Luxemburgo,11.0,13.0,11250000.0,16500000.0,25.2,27.2,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,empate,casa,
2010,12/5/2010,38,Estádio São Januário,Wilson Luiz Seneme,4972.0,,vasco da gama,ceará sc,Paulo César Gusmão,Dimas Filgueiras,12.0,11.0,8500000.0,3750000.0,23.2,29.4,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2010,7/17/2010,9,Estádio São Januário,Nielson Nogueira Dias,5976.0,,vasco da gama,atlético-pr,Paulo César Gusmão,Paulo César Carpegiani,19.0,17.0,8250000.0,6300000.0,23.9,25.3,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,vitoria,casa,
2010,10/13/2010,18,Estádio São Januário,Sandro Ricci,9285.0,24584.0,vasco da gama,corinthians,Paulo César Gusmão,Fábio Carille,10.0,2.0,10800000.0,19150000.0,25.8,29.6,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
